"index","city","full_city","image_url","lat","lng","page_url","state"
69,"Jalpa de Cánovas","Jalpa de Cánovas,Guanajuato","https://www.visitmexico.com/https://www.visitmexico.com/sites/default/files/styles/vertical/public/field/image/guanajuato_destinos-principales_jalpa-de-canovas_01_0.jpg?itok=Nt0XgMO8",20.8794307,-101.9828841,"https://www.visitmexico.com//es/destinos-principales/guanajuato/jalpa-de-canovas","Guanajuato"
70,"Mineral de Pozos","Mineral de Pozos,Guanajuato","https://www.visitmexico.com/https://www.visitmexico.com/sites/default/files/styles/vertical/public/field/image/guanajuato_destinos-principales_mineral-de-pozos_01_0.jpg?itok=6Wdxj3Lj",21.2231788,-100.4936673,"https://www.visitmexico.com//es/destinos-principales/guanajuato/mineral-de-pozos","Guanajuato"
71,"Salvatierra","Salvatierra,Guanajuato","https://www.visitmexico.com/https://www.visitmexico.com/sites/default/files/styles/vertical/public/field/image/guanajuato_regiones_principales_destinos_salvatierra.jpg?itok=fJwT554S",20.2090023,-100.8818401,"https://www.visitmexico.com//es/destinos-principales/guanajuato/salvatierra","Guanajuato"
72,"Yuriria","Yuriria,Guanajuato","https://www.visitmexico.com/https://www.visitmexico.com/sites/default/files/styles/vertical/public/field/image/guanajuato_destinos-principales_yuriria_01_0.jpg?itok=BPT5u34H",20.2125571,-101.1265968,"https://www.visitmexico.com//es/destinos-principales/guanajuato/yuriria","Guanajuato"
73,"Huamantla","Huamantla,Tlaxcala","https://www.visitmexico.com/https://www.visitmexico.com/sites/default/files/styles/vertical/public/field/image/tlaxcala_destinos-principales_huamantla_01_0.jpg?itok=8qPgUX5D","N/A","N/A","https://www.visitmexico.com//es/destinos-principales/tlaxcala/huamantla","Tlaxcala"
74,"Tlaxco","Tlaxco,Tlaxcala","https://www.visitmexico.com/https://www.visitmexico.com/sites/default/files/styles/vertical/public/field/image/tlaxco_regiones_principales_destinos_para_contemplar.jpg?itok=LSx6iX3I",19.61766,-98.1174721,"https://www.visitmexico.com//es/destinos-principales/tlaxcala/tlaxco","Tlaxcala"
75,"Huasca de Ocampo","Huasca de Ocampo,Hidalgo","https://www.visitmexico.com/https://www.visitmexico.com/sites/default/files/styles/vertical/public/field/image/hidalgo_destinos-principales_huasca-de-ocampo_01_0.jpg?itok=UowAXFWz","N/A","N/A","https://www.visitmexico.com//es/destinos-principales/hidalgo/huasca-de-ocampo","Hidalgo"
76,"Huichapan","Huichapan,Hidalgo","https://www.visitmexico.com/https://www.visitmexico.com/sites/default/files/styles/vertical/public/field/image/hidalgo_destinos-principales_huichapan_01_0.jpg?itok=Fgs3IhSS",20.3786677,-99.6508401,"https://www.visitmexico.com//es/destinos-principales/hidalgo/huichapan","Hidalgo"
77,"Mineral del Chico","Mineral del Chico,Hidalgo","https://www.visitmexico.com/https://www.visitmexico.com/sites/default/files/styles/vertical/public/field/image/hidalgo_destinos-principales_mineral-del-chico_01_0.jpg?itok=4sPfq9Fw",20.2134848,-98.73101349999999,"https://www.visitmexico.com//es/destinos-principales/hidalgo/mineral-del-chico","Hidalgo"
78,"Real del Monte","Real del Monte,Hidalgo","https://www.visitmexico.com/https://www.visitmexico.com/sites/default/files/styles/vertical/public/field/image/hidalgo_destinos-principales_real-del-monte_01_0.jpg?itok=kGm9izgf",20.1436705,-98.673811,"https://www.visitmexico.com//es/destinos-principales/hidalgo/real-del-monte","Hidalgo"
79,"Tecozautla","Tecozautla,Hidalgo","https://www.visitmexico.com/https://www.visitmexico.com/sites/default/files/styles/vertical/public/field/image/hidalgo_cultura_pueblos_magicos_tecozautla_0.jpg?itok=tA9snbKB",20.5326359,-99.6323321,"https://www.visitmexico.com//es/destinos-principales/hidalgo/tecozautla","Hidalgo"
80,"Izamal","Izamal,Yucatán","https://www.visitmexico.com/https://www.visitmexico.com/sites/default/files/styles/vertical/public/field/image/yucatan_izamal_bg_1.jpg?itok=1Lm0M8BM",20.9299997,-89.02271259999999,"https://www.visitmexico.com//es/destinos-principales/yucatan/izamal","Yucatán"
81,"Valladolid","Valladolid,Yucatán","https://www.visitmexico.com/https://www.visitmexico.com/sites/default/files/styles/vertical/public/field/image/yucatan_destinos-principales_valladolid_01_0.jpg?itok=c1ENd8WZ","N/A","N/A","https://www.visitmexico.com//es/destinos-principales/yucatan/valladolid","Yucatán"
82,"Jala","Jala,Nayarit","https://www.visitmexico.com/https://www.visitmexico.com/sites/default/files/styles/vertical/public/field/image/nayarit_destinos-principales_jala_01_0.jpg?itok=64VAJMb1","N/A","N/A","https://www.visitmexico.com//es/destinos-principales/nayarit/jala","Nayarit"
83,"Sayulita","Sayulita,Nayarit","https://www.visitmexico.com/https://www.visitmexico.com/sites/default/files/styles/vertical/public/field/image/nayarit_destinos-principales_sayulita_00.jpg?itok=iPbrkX-c",20.8688888,-105.4408333,"https://www.visitmexico.com//es/destinos-principales/nayarit/sayulita","Nayarit"
84,"Jerez","Jerez,Zacatecas","https://www.visitmexico.com/https://www.visitmexico.com/sites/default/files/styles/vertical/public/field/image/zacatecas_destinos-principales_jerez_01_0.jpg?itok=fPg-vVai",22.6468746,-102.9876221,"https://www.visitmexico.com//es/destinos-principales/zacatecas/jerez","Zacatecas"
85,"Nochistlán","Nochistlán,Zacatecas","https://www.visitmexico.com/https://www.visitmexico.com/sites/default/files/styles/vertical/public/field/image/zacatecas_destinos-principales_nochistlan_01_0.jpg?itok=SFyMzuhW",21.3634678,-102.8436668,"https://www.visitmexico.com//es/destinos-principales/zacatecas/nochistlan","Zacatecas"
86,"Pinos","Pinos,Zacatecas","https://www.visitmexico.com/https://www.visitmexico.com/sites/default/files/styles/vertical/public/field/image/zacatecas_regiones_principales_destinos_pinos.jpg?itok=0_nDLX64",22.2972779,-101.5747236,"https://www.visitmexico.com//es/destinos-principales/zacatecas/pinos","Zacatecas"
87,"Sombrerete","Sombrerete,Zacatecas","https://www.visitmexico.com/https://www.visitmexico.com/sites/default/files/styles/vertical/public/field/image/zacatecas_destinos-principales_sombrerete_01_0.jpg?itok=k5fTJPc1","N/A","N/A","https://www.visitmexico.com//es/destinos-principales/zacatecas/sombrerete","Zacatecas"
